code,name_vi,name_en
A00,Bệnh tả,Cholera
A00.0,"Bệnh tả do vi khuẩn Vibrio cholerae 01, típ sinh học cholerae","Cholera due to Vibrio cholerae 01, biovar cholerae"
A00.1,"Bệnh tả do Vibrio cholerae 01, típ sinh học eltor","Cholera due to Vibrio cholerae 01, biovar eltor"
A00.9,"Bệnh tả, không xác định","Cholera, unspecified"
A01,Bệnh thương hàn và/hoặc bệnh phó thương hàn,Typhoid and paratyphoid fevers
A01.0,Bệnh thương hàn,Typhoid fever
A01.1,Bệnh phó thương hàn A,Paratyphoid fever A
A01.2,Bệnh phó thương hàn B,Paratyphoid fever B
A01.3,Bệnh phó thương hàn C,Paratyphoid fever C
A01.4,"Bệnh phó thương hàn, không xác định","Paratyphoid fever, unspecified"
A02,Nhiễm Salmonella khác,Other salmonella infections
A02.0,Viêm ruột do Salmonella,Salmonella enteritis
A02.1,Nhiễm trùng hệ thống do Salmonella,Salmonella sepsis
A02.2,Nhiễm Salmonella khu trú,Localized salmonella infections
A02.8,Nhiễm trùng Salmonella xác định khác,Other specified salmonella infections
A02.9,"Nhiễm trùng Salmonella, không xác định","Salmonella infection, unspecified"
A03,Bệnh lỵ trực khuẩn,Shigellosis
A03.0,Bệnh lỵ trực khuẩn do Shigella dysenteriae,Shigellosis due to Shigella dysenteriae
A03.1,Bệnh lỵ trực khuẩn do Shigella flexneri,Shigellosis due to Shigella flexneri
A03.2,Bệnh lỵ trực khuẩn do Shigella boydii,Shigellosis due to Shigella boydii
A03.3,Bệnh lỵ trực khuẩn do Shigella sonnei,Shigellosis due to Shigella sonnei
A03.8,Bệnh lỵ trực khuẩn do Shigella khác,Other shigellosis
A03.9,"Bệnh lỵ trực khuẩn, không xác định","Shigellosis, unspecified"
A04,Nhiễm trùng đường ruột do vi khuẩn khác,Other bacterial intestinal infections
A04.0,Nhiễm khuẩn Escherichia coli gây bệnh đường ruột,Enteropathogenic Escherichia coli infection
A04.1,Nhiễm khuẩn Escherichia coli gây độc tố ruột (ETEC),Enterotoxigenic Escherichia coli infection
A04.2,Nhiễm khuẩn Escherichia coli xâm nhập (EIEC),Enteroinvasive Escherichia coli infection
A04.3,Nhiễm khuẩn Escherichia coli gây xuất huyết đường ruột (EHEC),Enterohaemorrhagi c Escherichia coli infection
A04.4,Nhiễm khuẩn Escherichia coli đường ruột khác,Other intestinal Escherichia coli infections
A04.5,Viêm ruột do vi khuẩn Campylobacter,Campylobacter enteritis
A04.6,Viêm ruột do vi khuẩn Yersinia enterocolitica,Enteritis due to Yersinia enterocolitica
A04.7,Viêm ruột do vi khuẩn Clostridium difficile,Enterocolitis due to Clostridium difficile
A04.8,Nhiễm trùng đường ruột do vi khuẩn xác định khác,Other specified bacterial intestinal infections
A04.9,"Nhiễm trùng đường ruột do vi khuẩn, không xác định","Bacterial intestinal infection, unspecified"
A05,"Ngộ độc thực phẩm do vi khuẩn khác, không phân loại mục khác","Other bacterial foodborne intoxications, not elsewhere classified"
A05.0,Ngộ độc thực phẩm do độc tố tụ cầu,Foodborne staphylococcal intoxication
A05.1,Ngộ độc botulinum,Botulism
A05.2,Ngộ độc thực phẩm do Clostridium perfringens [Clostridium welchii],Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A05.3,Ngộ độc thực phẩm do Vibrio Parahaemolyticus,Foodborne Vibrio parahaemolyticus intoxication
A05.4,Ngộ độc thực phẩm do Bacillus cereus,Foodborne Bacillus cereus intoxication
A05.8,Ngộ độc thực phẩm do vi khuẩn xác định khác,Other specified bacterial foodborne intoxications
A05.9,"Ngộ độc thực phẩm do vi khuẩn, không xác định","Bacterial foodborne intoxication, unspecified"
A06,Bệnh lỵ a-míp,Amoebiasis
A06.0,Bệnh lỵ a-míp cấp tính,Acute amoebic dysentery
A06.1,Bệnh lỵ a-míp đường ruột mạn tính,Chronic intestinal amoebiasis
A06.2,Viêm đại tràng do a-míp không gây hội chứng lỵ,Amoebic nondysenteric colitis
A06.3,U a-míp đường ruột,Amoeboma of intestine
A06.4,Áp xe gan do a-míp (K77.0*),Amoebic liver abscess (K77.0*)
A06.5,Áp xe phổi do a-míp,Amoebic lung abscess
A06.6,Áp xe não do a-míp (G07*),Amoebic brain abscess (G07*)
A06.7,Nhiễm a-míp ở da,Cutaneous amoebiasis
A06.8,Nhiễm a-míp ở vị trí khác,Amoebic infection of other sites
A06.9,"Bệnh do a-míp, không xác định","Amoebiasis, unspecified"
A07,Bệnh đường ruột do đơn bào khác,Other protozoal intestinal diseases
A07.0,Bệnh đường ruột do nhiễm balantidium,Balantidiasis
A07.1,Bệnh đường ruột do nhiễm giardia [lamblia],Giardiasis [lambliasis]
A07.2,Bệnh đường ruột do nhiễm cryptosporidium,Cryptosporidiosis
A07.3,Bệnh đường ruột do nhiễm lsospora,Isosporiasis
A07.8,Bệnh đường ruột do đơn bào xác định khác,Other specified protozoal intestinal diseases
A07.9,"Bệnh đường ruột do đơn bào, không xác định","Protozoal intestinal disease, unspecified"
A08,Nhiễm trùng đường ruột do virus và/hoặc tác nhân xác định khác,Viral and other specified intestinal infections
A08.0,Viêm ruột do virus rota,Rotaviral enteritis
A08.1,Bệnh lý dạ dày - ruột cấp tính do norovirus,Acute gastroenteropathy due to Norovirus
A08.2,Viêm ruột do virus adeno,Adenoviral enteritis
A08.3,Viêm ruột do virus khác,Other viral enteritis
A08.4,"Nhiễm trùng đường ruột do virus, không xác định","Viral intestinal infection, unspecified"
A08.5,Nhiễm trùng đường ruột xác định khác,Other specified intestinal infections
A09,Viêm dạ dày - ruột và/hoặc đại tràng do nhiễm trùng và/hoặc không xác định căn nguyên,Other gastroenteritis and colitis of infectious and unspecified origin
A09,Viêm dạ dày- ruột và/hoặc đại tràng do nhiễm trùng và/hoặc không xác định căn nguyên,Other gastroenteritis and colitis of infectious and unspecified origin
A09.0,Viêm dạ dày - ruột và/hoặc đại tràng do nhiễm trùng khác và/hoặc không xác định,Other and unspecified gastroenteritis and colitis of infectious origin
A09.9,Viêm dạ dày - ruột và/hoặc đại tràng không xác định căn nguyên,Gastroenteritis and colitis of unspecified origin
A15,"Bệnh lao hô hấp, được khẳng định bằng vi khuẩn học và/hoặc mô học","Respiratory tuberculosis, bacteriologically and histologically confirmed"
A15.0,"Bệnh lao phổi, được khẳng định bằng soi đờm có nuôi cấy hoặc không nuôi cấy đờm","Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
A15.1,"Bệnh lao phổi, chỉ được khẳng định bằng nuôi cấy","Tuberculosis of lung, confirmed by culture only"
A15.2,"Bệnh lao phổi, được khẳng được bằng mô học","Tuberculosis of lung, confirmed histologically"
A15.3,"Bệnh lao phổi, được khẳng định bằng phương pháp không xác định","Tuberculosis of lung, confirmed by unspecified means"
A15.4,"Bệnh lao hạch lympho trong khoang ngực, được khẳng định bằng vi khuẩn học và/hoặc mô học","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
A15.5,"Bệnh lao thanh quản, khí quản và/hoặc phế quản, được khẳng định bằng vi khuẩn học và/hoặc mô học","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
A15.6,"Bệnh lao màng phổi, được khẳng định bằng vi khuẩn học và/hoặc mô học","Tuberculous pleurisy, confirmed bacteriologically and histologically"
